Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T),Interval_High_Open,Interval_Open_From_LastDay,Interval_Open_From_LastDay(%),Cluster,Cluster_Selected,PCA1,PCA2
42,50.0,51.0,50.0,50.0,3,0.0,0.0,442,180,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
38,50.0,51.0,50.0,50.0,3,0.0,0.0,569,320,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
35,50.0,51.0,50.0,50.0,3,0.0,0.0,234,786,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
27,50.0,51.0,50.0,50.0,3,0.0,0.0,123,663,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
26,50.0,52.0,50.0,50.0,3,0.0,0.0,214,768,2.0,0.0,0,5,0,-0.5897288963545382,-0.3787278368750197
16,50.0,52.0,50.0,50.0,3,0.0,0.0,57,582,2.0,0.0,0,5,0,-0.5897288963545382,-0.3787278368750197
11,50.0,52.0,50.0,50.0,3,0.0,0.0,105,657,2.0,0.0,0,5,0,-0.5897288963545382,-0.3787278368750197
7,51.0,51.0,50.0,50.0,1,1.0,1.96,56,579,-5.551115123125783e-17,0.0,0,2,2,-0.17349162756913222,2.5291093625242165
4,51.0,51.0,50.0,50.0,1,1.0,1.96,292,6,-5.551115123125783e-17,0.0,0,2,2,-0.17349162756913222,2.5291093625242165
88,50.0,51.0,50.0,51.0,2,1.0,2.0,290,4,1.0,0.0,0,2,2,0.27228772240820903,2.4808297120456277
84,50.0,51.0,50.0,50.0,3,0.0,0.0,742,471,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
77,50.0,51.0,50.0,50.0,3,0.0,0.0,814,539,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
73,50.0,51.0,50.0,50.0,3,0.0,0.0,311,106,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
345,50.0,51.0,50.0,50.0,3,0.0,0.0,682,429,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
340,50.0,51.0,50.0,50.0,3,0.0,0.0,796,528,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
332,50.0,50.0,50.0,50.0,3,0.0,0.0,498,224,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
330,50.0,51.0,50.0,50.0,3,0.0,0.0,694,436,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
328,50.0,51.0,50.0,50.0,3,0.0,0.0,816,540,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
316,50.0,51.0,50.0,50.0,3,0.0,0.0,651,387,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
313,50.0,50.0,50.0,50.0,3,0.0,0.0,763,513,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
309,50.0,50.0,50.0,50.0,3,0.0,0.0,43,591,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
306,50.0,51.0,50.0,50.0,3,0.0,0.0,480,209,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
303,50.0,51.0,50.0,50.0,3,0.0,0.0,775,502,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
288,50.0,50.0,50.0,50.0,3,0.0,0.0,165,718,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
364,50.0,50.0,50.0,50.0,3,0.0,0.0,522,322,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
361,50.0,51.0,50.0,50.0,3,0.0,0.0,828,553,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
351,50.0,52.0,50.0,50.0,3,0.0,0.0,360,35,2.0,0.0,0,5,0,-0.5897288963545382,-0.3787278368750197
343,50.0,50.0,50.0,50.0,3,0.0,0.0,143,694,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
321,50.0,50.0,50.0,50.0,3,0.0,0.0,231,793,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
284,50.0,50.0,50.0,50.0,3,0.0,0.0,21,708,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
265,50.0,51.0,50.0,50.0,3,0.0,0.0,197,737,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
